sp,temp,time,medium,gr,ptl
3,5,12,3,1.98,11.23
3,10,12,3,2.12,12.43
3,15,12,3,3.45,11.45
3,20,12,3,4.67,14.50
3,25,12,3,5.12,19.09
3,30,12,3,5,18.11
3,35,12,3,4.32,17.23
3,5,24,3,3.56,18.86
3,10,24,3,5.65,23.16
3,15,24,3,13.34,65.81
3,20,24,3,43.65,89.38
3,25,24,3,55.59,111.37
3,30,24,3,48.43,100.98
3,35,24,3,14.28,47.54
